,Text,Clase
10,"👉🏻 Els alcaldes i representants dels municipis ens han traslladat 3 prioritats:

⛰ Fer una gestió forestal adequada.
💧 Recursos hídrics adequats.
📡 Millorar les telecomunicacions.

Ens comprometem a treballar en les problemàtiques del territori.

🗣 @salvadorilla 

#PSC/❤️ https://t.co/DcokBXVK3o",autopromocio
11,"🌹 Avui, el cap de l’Oposició, @salvadorilla, ha visitat la zona afectada per l’incendi de la Conca de Barberà i l’Anoia.

🗣 “Vull agrair a tots els cossos, col·lectius, pagesos, voluntaris, alcaldes i administració local tota la tasca que es va fer per extingir el foc”

#PSC/❤️ https://t.co/eTUKt49I8W",autopromocio
12,"¡Primera medalla de oro, enhorabuena! https://t.co/YDgyJReOqq",salut
13,"Teixir aliances, compartir la nostra visió d #Catalunya i #Espanya, cercar respostes conjuntes... Això ha fet @salvadorilla en les trobades amb els Presidents d'Euskadi, València i Balears.

Cal implicar-se i no arraconar-se!
 https://t.co/007RSTCkhj article @CescMaideu @diariARA",autopromocio
14,"Enriquidora visita institucional a les Illes Balears, constatant els llaços d’unió amb Catalunya. He compartit amb la presidenta @F_Armengol i el @cerclemallorca el model d’Espanya diversa i dialogant que cal consolidar, i he agraït la tasca de l’equip de la consellera @patgompic https://t.co/PORSrlAsiw",autopromocio
15,"🏥Trobada de @salvadorilla, @aliciarll i Patricia Gómez [@Patgompic], consellera de Salut i Consum del @goib, amb directors generals i gerents d’hospitals de les Illes Balears.

#PSC/❤️ https://t.co/92ZN9AfgrK",presidencia
16,"🌹El cap de l'Oposició a Catalunya, @salvadorilla, i la portaveu, @aliciarll, es reuneixen amb membres del @psibpsoe.

“Els socialistes catalans i balears tenim un projecte comú, amb polítiques socials basades en el diàleg, la convivència i el respecte a la diversitat”.

#PSC/❤️ https://t.co/42qPowBYHY",presidencia
17,"🗣️Trobada i col·loqui de @salvadorilla amb empresaris del @cerclemallorca.

🌹""El diàleg amb el Govern d’Espanya s’ha de complementar amb un diàleg entre catalans i reconèixer la pluralitat d’opinions que hi ha a Catalunya"".

#PSC/❤️ https://t.co/5jsD5JxkeF",presidencia
18,"🔴Contacte informatiu de @salvadorilla:

""Durant la reunió amb @F_Armengol hem constatat la nostra coincidència en els nostres models d’Espanya:

🌹Rica en la seva diversitat i en la seva creativitat.

🇪🇺Dins d’una Europa cada vegada més federal"".

#PSC/❤️ https://t.co/rOWAaLjxoj",autopromocio
19,Sobre les preguntes que hem presentat sobre ⁩la producció externa de TV3👉🏽El PSC reclama a la CCMA quant han costat i com s’han pagat els programes de productores privades - El triangle  https://t.co/NzUfnK4B0z,autopromocio
20,⛰Ahir vam visitar amb @flarrosa establiments turístics 🏡 i empreses d’activitats de natura del Pallars Sobirà⛺️🛶🚣🏾‍♀️⛷🧗🏽‍♀️🚴🏻‍♂️ per conèixer el funcionament de la temporada i parlar de les necessitats del sector turístic al Pirineu a curt i mitjà termini #Pirineus #Pallars https://t.co/iEtYyQYmiq,economia i hisenda
21,"🏛️🔴@arandapaco:
🗣️¿Qué hay que explicar de las más de 30.000 solicitudes de nacionalización a descendientes sefardíes resueltas desde 2018 ?

👉 En el periodo del PP solo se resolvieron 4.500.

Lo que hay es la aplicación de la ley. Espero no tengan un problema con eso.

#PSC/❤️ https://t.co/aokzjkUSKr",autopromocio
22,"🌹El cap de l'Oposició a Catalunya, @salvadorilla, i la portaveu, @aliciarll, es reuneixen amb membres del @psibpsoe.

“Els socialistes catalans i balears tenim un projecte comú, amb polítiques socials basades en el diàleg, la convivència i el respecte a la diversitat”.

#PSC/❤️ https://t.co/42qPowBYHY",presidencia
23,"Consternat en saber que un altre infant ha estat víctima de la violència vicaria, aquest cop a Barcelona. 
Tot el meu suport a la mare i familiars del nen. https://t.co/MWv2zyn79d",autopromocio
24,"🗣️Trobada i col·loqui de @salvadorilla amb empresaris del @cerclemallorca.

🌹""El diàleg amb el Govern d’Espanya s’ha de complementar amb un diàleg entre catalans i reconèixer la pluralitat d’opinions que hi ha a Catalunya"".

#PSC/❤️ https://t.co/5jsD5JxkeF",presidencia
25,"🏛️🔴@J_Zaragoza_ al PP:

👉Todas las comparecencias que piden obvian que el Gobierno se relaciona con todas las CCAA, y solamente piden comparecencias de temas relacionados con Cataluña. 

🗣️Porque ustedes solo buscan el enfrentamiento, no solucionar el problema.

#PSC/❤️ https://t.co/5Y6xSlLsay",presidencia
26,"🏛️🌹@montseminguez al PP:

🗣️Su precipitación les conduce a su propio ridículo, y a veces en menos de 24h.

👉Les está pasando con las vacunas.
👉Y les está pasando con Afganistan, cuando los máximos responsables europeos y Biden ponen en valor la acción del Gobierno.

#PSC/❤️ https://t.co/fxQjJ8bul2",autopromocio
27,"🗣️@salvadorilla:

A Catalunya hi ha ganes de girar full després de deu anys que no han estat bons. 

🌹Catalunya ha d’estar molt més present en els debats que ens afecten a totes i tots, per defensar aquest model d’una Espanya diversa.

#PSC/❤️ https://t.co/KW7PYGqvfI",presidencia
28,"🔴Contacte informatiu de @salvadorilla:

""Durant la reunió amb @F_Armengol hem constatat la nostra coincidència en els nostres models d’Espanya:

🌹Rica en la seva diversitat i en la seva creativitat.

🇪🇺Dins d’una Europa cada vegada més federal"".

#PSC/❤️ https://t.co/rOWAaLjxoj",autopromocio
29,"📄“Catalunya ha d’estar molt més present en els debats que ens afecten a totes i tots”.

🗣️@salvadorilla.

#PSC/❤️

https://t.co/fYvg5b9ylc",presidencia
30,"A la conferència de @salvadorilla al @cerclemallorca. El treball per unir, l'aposta per la cogovernança des de les lliçons de la pandèmia i el camí del diàleg per trobar solucions, cap a una Espanya diversa. Des dels consensos i l'optimisme https://t.co/Qd9KMolzNq",autopromocio
31,"Avui també hem compartit plantejaments comuns amb n'@aliciarll en qüestions cabdals com la recuperació social i econòmica o el finançament, des del diàleg i el treball conjunt https://t.co/YiWZQWLTUu",autopromocio
32,Ha estat un plaer!! Moltes gràcies per l'estona i el treball. Estic convençuda que podrem avançar plegades. https://t.co/mLolosfLRN,autopromocio
33,"🌹La portaveu, @aliciarll, es reuneix amb @Rosanchezgrau, consellera d’Hisenda i Relacions Exteriors del Govern de les Illes Balears. 
@HisendaGOIB

#PSC/❤️ https://t.co/YvkcGSrVC0",autopromocio
34,"📌Aquest matí, el cap de l'Oposició a Catalunya, @salvadorilla, s'ha reunit amb @F_Armengol, presidenta de les Illes Balears, a Palma.

#PSC/❤️ https://t.co/npSTZsik7L",presidencia
35,"Esta tarde ha llegado a España un nuevo avión procedente de Afganistán con 290 afganas/os más a bordo. De madrugada está prevista la llegada de otros 145 pasajeros.

Infinitas gracias a todas las personas que están trabajando incansablemente para hacer posible estos traslados. https://t.co/i2VV7jeOET",autopromocio
36,"Iceta impulsará la transposición de la norma europea de derechos de autor, El Diario / EFE https://t.co/NL1789lbcj vía @eldiarioes",accio exterior i govern obert
37,"👉Hi ha una alternativa real al nacionalisme identitari de l'independentisme. 

🌹Els i les socialistes volem reiterar al nostre poble que no estem condemnats a viure en aquest engany permanent in eternum.

🗞@ROSA_M_IBARRA al @Diari_Mes.

#PSC/❤

https://t.co/9xd5JPmGdT https://t.co/TMQxnMSYMN",autopromocio
38,"Esta última semana hemos visto que existen dos realidades paralelas: la de los hechos y la que el PP nos cuenta.
 
Como una imagen vale más que mil palabras, os hacemos un repaso visual de la semana vivida por el Partido Popular.

¡Dentro 🧵!👇",presidencia
39,"@salvadorilla, l’exministre de Sanitat gestor de la crisi de la pandèmia, ens parlarà del futur, reptes i oportunitats que vindran.
Imprescindible registrar-se per assistir-hi.
🗓 Demà, 25 d'agost
🕒 12.30h 
📍 Fundació Sa Nostra, c/ Concepció, 12. Palma.
https://t.co/Erq1g1Tka3",autopromocio
40,"🗣️@salvadorilla a @maticatradio:

🛫Cal transformar l'Aeroport en un hub internacional i cometríem un error no tenint el coratge d'abordar aquest debat.

🟢Amb totes les garanties mediambientals.

#PSC/❤️ https://t.co/Y9TDIhM7F4",autopromocio
41,"🗣️@salvadorilla a @maticatradio:

🌹És molt important que es reprengui la taula del diàleg amb expectatives realistes.

🤝El diàleg entre catalans s'ha de produir perquè no hi ha un altre camí. Hem de trobar mínims comuns denominadors des del respecte. 

#PSC/❤️ https://t.co/QZQE8LxWjG",presidencia
42,"🗣️@salvadorilla a @maticatradio:

❌La majoria de la investidura ha aprovat 2 pressupostos en 10 anys i mai l'1 de gener. 

Això no pot passar l'any 2022.

🌹El PSC sempre estarà treballant pel que necessitin els ciutadans.

#PSC/❤️ https://t.co/0hzlSfYRBj",autopromocio
43,"🗣️@salvadorilla a @maticatradio:

👏 @miqueliceta ha fet una feina excel·lent.

🌹El Congrés extraordinari que hem de fer és el Congrés del Govern de Catalunya. L'objectiu ara és ser el partit que ha de governar Catalunya.

#PSC/❤️ https://t.co/DsnK1P9ioA",presidencia
44,"🗣️@salvadorilla a @maticatradio:

🌹Toca fer un relleu a la direcció del partit.

👉A l'executiva de dimarts vinent, @miqueliceta donarà les explicacions pertinents, i prendrem la decisió sobre quan és el millor moment per fer aquest congrés extraordinari.

#PSC/❤️ https://t.co/nMXiHcBy04",autopromocio
45,"📌Avui a les 9:20 h, el cap de l’oposició a Catalunya, @salvadorilla, serà entrevistat a @maticatradio.

https://t.co/uzMWLZVLaJ

#PSC/❤️ https://t.co/F4D2ANk8ji",presidencia
46,"El ministro de Cultura y Deporte, @miqueliceta, se ha reunido esta tarde con representantes de distintas asociaciones de productores de #cine, #audiovisual y #animación. En este primer encuentro, el ministro ha querido escuchar de primera mano las necesidades del sector. https://t.co/lr4ZGDJ6gz",autopromocio
47,"Llega a nuestro país un nuevo avión con otras 260 personas repatriadas desde Afganistán. Despegaron esta madrugada de Kabul y, tras escala en Dubái, ya están en Torrejón.

España es esto: solidaridad, humanidad. Vamos a seguir trabajando para ayudar a quienes más lo necesitan. https://t.co/vY7CUANVU9",immigracio
48,"📌Demà a les 9:20 h, el cap de l’oposició a Catalunya, @salvadorilla, serà entrevistat a @maticatradio.

#PSC/❤️ https://t.co/yqBjmG1nFA",presidencia
49,"Os invito a leer mi último post Afganistán: España, liderazgo ante el desafío internacional – Mercè Perea ⁦@gpscongreso⁩ ⁦@socialistes_cat⁩  https://t.co/XPFQWyR05r",autopromocio
50,"📌Demà a les 9:20 h, el cap de l’oposició a Catalunya, @salvadorilla, serà entrevistat a @maticatradio.

#PSC/❤️ https://t.co/yqBjmG1nFA",presidencia
51,"🗣️@aliciarll a l'@agenciaacn:

⛔️Dues línies vermelles:

🌹Treballar per les famílies vulnerables i per la pobresa que creix a Catalunya cada any.

👩‍🔬Apostar pel coneixement i la innovació.

#PSC/❤️ https://t.co/W3hboBnqPB",autopromocio
52,"1️⃣ CAT ha d'aprovar uns nous pressupostos 2022. No podem prorrogar-los de nou! Cal establir noves prioritats: educació, salut, pol socials, indústria i innovació
2️⃣ El país necessita nous pressupostos, x això diem, si no se'n surt amb la majoria parlamentària de CUP, podem parlar https://t.co/Ykxql7Tr1A",autopromocio
53,"🗣La portaveu, @aliciarll, a l'@agenciaacn:

❌ No s'haurien de fer cordons sanitaris al PSC.

🌹S'ha de poder dialogar amb tothom sobre qualsevol tema.

👉Que el president Aragonès digui amb el PSC ""res"", no ens sembla un bon començament.

#PSC/❤ https://t.co/kePsvIzUse",autopromocio
54,"El Grupo de Trabajo que supervisa la operación de repatriación del contingente español en Afganistán mantiene una nueva reunión esta mañana en La Moncloa.

Está presidida por el presidente del Gobierno, @sanchezcastejon, y cuenta con la participación de 7 ministerios. https://t.co/dy2W40af37",autopromocio
55,"L'arribada de vacunes no s'atura. Una setmana més, hem lliurat a la Generalitat 372.060 dosis de Pfizer que ens ha enviat el @sanidadgob.

La vacunació és clau per minimitzar l'impacte 
de la pandèmia i restablir el funcionament normal de la societat. Seguim! https://t.co/kWnEJNr3YJ",autopromocio
56,"Ya está publicada la convocatoria para repartir 1.000 millones de euros de los fondos #NextGenerationEU.

Los #Ayuntamientos pueden solicitar las primeras ayudas para transformar la movilidad y mejorar la calidad del aire en las ciudades.

El #PlandeRecuperación está en marcha. https://t.co/iDsihR1IzK",autopromocio
57,"El objetivo del hub de Torrejón es ser una instalación de tránsito provisional. 

👉 Lo más acogedora posible y donde se identifique a todas las personas.

Han llegado colaboradores 🇦🇫 que se derivarán a nuestros aliados 🇪🇺 y 🇺🇸.
 
🗣️ @joseluisescriva en @elprogramadear https://t.co/IgwBTOWHEl",autopromocio
58,"Ya tenemos en España a las 177 personas repatriadas en las últimas horas desde Afganistán. Son 110 afganos colaboradores de España y otros 67 colaboradores de EE.UU.

La ministra de @Defensagob y el JEMAD reciben a este séptimo avión en la Base Aérea de Torrejón.
Seguimos. https://t.co/lM3RxAGyoZ",immigracio
59,"Espanya i el seu Govern, exemple de solidaritat i acollida: https://t.co/ZdjCSdmIBR",immigracio
60,"Visita esta mañana de nuestro presidente y SG @sanchezcastejon a las zonas afectadas por los incendios en Ávila.

Reconociendo personalmente el trabajo y compromiso de todos los que han colaborado para extinguirlo.

Estamos en las duras y a las maduras. 

#LaEspañaQueHacemos_  🌹 https://t.co/FT63qtzA0F",autopromocio
61,"Acabo de mantener una fructífera conversación con el presidente Joe Biden, @POTUS, en la que hemos abordado varios temas de interés común, en especial, la situación en Afganistán y la colaboración entre ambos gobiernos en la evacuación de ciudadanos y ciudadanas desde ese país. https://t.co/wZ3ChcJzK0",presidencia
62,"Sánchez y Biden acuerdan usar las bases de Rota y Morón para acoger a afganos, El Periódico / EFE @elperiodico https://t.co/wzNcJVUesm",autopromocio
63,"Alícia Romero: ""Iceta ha sido primer secretario en una etapa muy difícil y ahora toca un relevo natural"" per @dgsastre via @elperiodico https://t.co/BCQqACLrR9
@socialistes_cat",autopromocio
64,"🌹""@miqueliceta ha sigut primer secretari en una etapa molt difícil i ha deixat un partit més cohesionat i fort.

👉Ara toca un relleu natural, @salvadorilla"".

🗞Entrevista a @aliciarll a @elperiodico_cat.

#PSC/❤

https://t.co/jIWbB2cjJJ",autopromocio
65,"“Estamos reivindicando los mejores valores y principios de la UE: la unidad y la solidaridad. La unidad entre todos los Estados miembros y la solidaridad con aquellos que sufren y con los que tenemos un compromiso de protección de sus vidas y de su futuro”.

🌹 @sanchezcastejon https://t.co/S3ZxbYGwvW",presidencia
66,"📌 El presidente del Gobierno, @sanchezcastejon, ha visitado esta mañana el 'hub' de recepción instalado en la base aérea de Torrejón de Ardoz, juntamente con @vonderleyen, @eucopresident y @JosepBorrellF.

#LaEspañaQueHacemos_ https://t.co/vn3PshGKPa",autopromocio
67,"Nuestro apoyo y gratitud a ti @sanchezcastejon 

👉 A tu gobierno.
👉 A tu liderazgo.

España ha mostrado su humanidad y su gran sentido de la solidaridad.  

España es un ejemplo de lo que es el alma de Europa en su mejor expresión.

🗣️ @eucopresident
🗣️ @vonderleyen https://t.co/nvdyN5KRCt",autopromocio
68,"Para el Gobierno de España la respuesta inmediata a los acontecimientos en Afganistan era esencial. Proteger a nuestros ciudadanos y colaboradores era el principal objetivo.
Gracias a todos los hombres y mujeres que durante años han trabajado por mejorar las condiciones del país. https://t.co/bwyIMNKzzc",autopromocio
69,"Quiero agradecer el trabajo que están realizando los cuerpos y fuerzas de seguridad del Estado, FFAA y personal diplomático.

Y reivindicar la memoria de todos los españoles fallecidos durante estos años en 🇦🇫.

🗣️ @sanchezcastejon
 
#LaEspañaQueHacemos_ https://t.co/zaEzIAxVz0",autopromocio
70,"Europa responde apoyada en uno de nuestros valores básicos: 𝗹𝗮 𝘀𝗼𝗹𝗶𝗱𝗮𝗿𝗶𝗱𝗮𝗱.
 
👉 Solidaridad entre los Estados miembros y con aquellas personas que peor lo están pasando, sobre todo con las mujeres y niñas.
 
🗣️@sanchezcastejon
 
#LaEspañaQueHacemos_ https://t.co/pYtZxVVhu4",autopromocio
71,"En 🇦🇫 hemos sembrado una semilla en el corazón de los afganos. Y hasta en los tiempos más oscuros, el recuerdo de la 𝗹𝗶𝗯𝗲𝗿𝘁𝗮𝗱 y del 𝗽𝗿𝗼𝗴𝗿𝗲𝘀𝗼 es una semilla que germinará.

Y 🇪🇸 siempre estará ahí defendiendo los DDHH.

🗣️@sanchezcastejon

#LaEspañaQueHacemos_ https://t.co/ye0vU2jHZK",immigracio
72,"📡 En directo. Comparecencia del presidente del Gobierno, @sanchezcastejon en la base aérea de Torrejón de Ardoz.

#LaEspañaQueHacemos_ https://t.co/ArJCcAdaAU",autopromocio
73,"Ya ha llegado a Dubái un nuevo vuelo de las Fuerzas Armadas españolas con 110 pasajeros, procedentes de Afganistán, que en las próximas horas serán evacuados a España.

Continúan las labores de repatriacion y acogida coordinadas por @Defensagob, @MAECgob e @inclusiongob https://t.co/C2PlY0WKYc",autopromocio
74,"Torrejón de Ardoz, 'hub' europeo para los refugiados afganos, El Periódico @elperiodico https://t.co/k8BiOIgyEP",autopromocio
75,"¡Buenos días!

Hoy el presidente del Gobierno, @sanchezcastejon visitará el 'hub' de recepción instalado en la base aérea de Torrejón de Ardoz junto con: @vonderleyen @eucopresident y @JosepBorrellF 

⏰ A partir de las 12:15.

Síguelo en directo en nuestras Redes Sociales 📲 https://t.co/RM6aM9yBPt",autopromocio
76,"A #Catalunya superem els 4,8 milions de persones amb pauta completa de vacunació.

Gràcies pel compromís i la responsabilitat. 
No baixem la guàrdia! https://t.co/YyTH4uberG",autopromocio
77,"🔴EN DIRECTO
Intervención del ministro de @M_Presidencia, Félix Bolaños, tras la llegada a la Base Aérea de Torrejón del segundo avión de @Defensagob que realiza labores de repatriación desde Afganistán. https://t.co/vTpbNrYkaN",autopromocio
78,"Se cumplen 13 años del fatídico accidente del vuelo #JK5022 de Spanair, en el que fallecieron 154 personas.

Nuestro recuerdo a las víctimas y todo el afecto para sus familiares y amigos. Hoy y siempre en nuestra memoria.",interior
79,"El PSC decidirá en septiembre la fecha en la que Illa relevará a Iceta al frente del partido, Daniel G. Sastre @dgsastre @elperiodico https://t.co/RocNRZCUSz",autopromocio
80,"Todo mi esfuerzo se centra en: 𝗹𝗮 𝗲𝘃𝗮𝗰𝘂𝗮𝗰𝗶𝗼́𝗻.

Tendremos una reunión con nuestros aliados para:

👉 Reflexionar sobre la situación de 🇦🇫
👉 Mirar hacia el futuro.

🗣️ @jmalbares en @DebatAlRojoVivo 

#LaEspañaQueHacemos_ https://t.co/Zni6yUBc3l",autopromocio
81,"Charles Michel y Ursula Von der Leyen visitan este sábado el campamento de refugiados afganos en Torrejón, Nieves Goicoechea @goiconieves https://t.co/TpjXmfed3J vía @HoyporHoy",autopromocio
82,"El Gobierno de 🇪🇸.

✅Está trabajando tanto en la crisis de Afganistán como en la crisis de Haití. 

Ofreciendo toda la ayuda humanitaria y colaboración internacional necesaria. 🤝

📺 @jmalbares en @rtve 

#LaEspañaQueHacemos_ https://t.co/6xrqMQbhLI",accio exterior i govern obert
83,"La evacuación es una situación compleja y todos los países nos enfrentamos a ello.

👉 El Gobierno de España mientras sea posible no cejará en el empeño de intentar evacuar a todos los 🇪🇸 y colaboradores 🇦🇫.

No dejaremos a nadie atrás. 🤝

📺 @jmalbares en @rtve https://t.co/K5dHue3E6S",autopromocio
84,"El segundo vuelo de repatriados ya está rumbo a Dubái.

Esta mañana, sobre las 06:30 horas, ha despegado desde el aeropuerto de Kabul el avión A400M de las Fuerzas Armadas en el que España está evacuando a otro grupo de 110 personas de Afganistán.",immigracio
85,"El PSC és el grup del Parlament que ha presentat més peticions d'informació, amb 641, seguit de Vox i els comuns. 
L’oposició registra més de 2.000 preguntes escrites al Govern des de l’inici de la legislatura https://t.co/94onf2TZDg vía @elvallenc",autopromocio
86,"🏛️ Registramos en el @Congreso_Es una iniciativa sobre la situación de las mujeres y las niñas en Afganistán.

👭 La Proposición no de Ley apuesta por dar apoyo internacional a la situación de las mujeres afganas. https://t.co/6eZlF4XClL",immigracio
87,"El PG, @sanchezcastejon, preside la primera reunión del Grupo de Trabajo que supervisa la repatriación del contingente español en Afganistán.

Al encuentro, que está coordinado por el ministro de @M_Presidencia, asisten los titulares de los ministerios implicados en este proceso. https://t.co/c4juHmxE7g",autopromocio
88,"El ministro Escrivá ha recibido esta mañana a las familias llegadas desde 🇦🇫:

""He hablado con cada una de las agrupaciones familiares que han venido en el segundo avión y me han trasladado sus problemas concretos e inquietudes"".

📺 @joseluisescriva en @DebatAlRojoVivo https://t.co/TbElrD9KoA",autopromocio
89,"Esta noche, junto a @jmalbares, he recibido al primer grupo de familias afganas evacuadas del país. Ha sido un momento muy emocionante. Hemos trabajado intensamente con @UMEgob y @CruzRojaEsp para tener todo preparado para la acogida de estas personas desde el primer momento https://t.co/FcqCYZndaB",autopromocio
90,"¡Continuamos con el día de hoy! 

No te pierdas en 1 hora la entrevista a
@joseluisescriva  , ministro de @inclusiongob en el  @DebatAlRojoVivo 
 
⏰ A partir de las 12:00h.

📺 Puedes seguirla en directo aquí: https://t.co/unv5E69olj

#LaEspañaQueHacemos_ 🌹 https://t.co/gzXyz4nOcA",autopromocio
91,"El balance es positivo.

👉 El gobierno está volcado en traer a todos los ciudadanos 🇪🇸 y 🇦🇫 que hayan colaborado con España y con la UE. 

📺 @NadiaCalvino en @EspejoPublico 

#LaEspañaQueHacemos_ https://t.co/j5Tq1RlFks",autopromocio
92,"Más del 70% de la población diana en España tiene ya la pauta completa de vacunación. Alcanzamos los 30M de personas totalmente protegidas. 
Este es el camino. Gracias a las CC.AA., a los profesionales sanitarios y a la ciudadanía por su compromiso con este proceso de vacunación. https://t.co/MWzxJNcN8h",autopromocio
93,"💉 Segons el darrer informe de @sanidadgob, a Catalunya:

✅ Un 70% de la població té la pauta completa de la #VacunaCOVID19.
👉🏻 Més d’un 80% ha rebut almenys una dosi.

👏🏻 Moltes gràcies a tots els i les professionals que ho fan possible.

#YoMeVacunoSeguro 
#PSC/❤️ https://t.co/nlbOxNzyjW",autopromocio
94,"España promueve una declaración de la UE para velar por la seguridad y los derechos de las mujeres y niñas de Afganistán, y ofremos nuestro apoyo humanitario para garantizar su integridad.
Al consenso de los 27 se han sumado otros países de fuera de la UE.
https://t.co/tB4sTgjpXi",autopromocio
95,"Todos hemos seguido, sobrecogidos, los acontecimientos en Afganistán.

El Gobierno de 🇪🇸, una vez más, ha sido el primero en ofrecer a nuestros socios 🇪🇺 que nuestro país sea ese puerto seguro de entrada a EU para los refugiados que huyen de esta terrible crisis.

🌹 @Adrilastra https://t.co/nlPMeHPO1a",autopromocio
96,"L'arribada de 9.000 M€ dels Fons Europeus ens permetrà dinamitzar l'economia i fer un salt important cap a la cohesió social i territorial, la igualtat de gènere, la transició ecològica i la transformació digital.

▶️@Catalunya és en el camí de la reconstrucció. https://t.co/42Vhk6FTjy",autopromocio
97,"Participant a Cambrils, un any més, a l' acte organitzat per la @delegobcataluna en record per les víctimes dels atemptats del #17A del 2017. Sempre en la memòria 🌹 @PSC_CampdeTgn @socialistes_cat https://t.co/FzYsdg5cT3",autopromocio
98,"España recibe los primeros 9.000 millones de euros de los fondos europeos, La Vanguardia @LaVanguardia https://t.co/whyM4QIUJo",autopromocio
99,"El primer avión español ya ha salido de Dubái rumbo a Kabul para evacuar al primer grupo de españoles y colaboradores en Afganistán.

Una tercera aeronave medicalizada de las Fuerzas Armadas ha salido esta mañana desde Madrid a Dubái para colaborar en las labores de repatriación. https://t.co/gZ9SffRDyd",autopromocio
100,"🌹 “Siempre me ha gustado estar al servicio de los demás e intentar mejorar la vida de las personas”.

🗞 Entrevista a @raulmorenom en @LaVanguardia.

#PSC/❤️

https://t.co/S7O9MSrsxE",autopromocio
101,"""Con la aprobación de esta ley nuestra sociedad es más humana, es más democrática y es, en definitiva, una sociedad mejor""

🌹 Nuestra portavoz de Derechos Sociales y diputada por Barcelona, @SonyaGuerraLpz, defendió la #LeyDeInfancia en el pleno del 15 de abril de 2021. https://t.co/efgUlH9UyQ",drets socials
102,"✍️""Cada canción
es un remanso
del amor.

Cada lucero,
un remanso
del tiempo.
Un nudo
del tiempo.

Y cada suspiro
un remanso
del grito.""

El 18 d'agost del 1936, va ser assassinat Federico García Lorca.

🌹No l'oblidem. Tinguem memòria!

#PSC/❤️ https://t.co/XY28A3agWl",autopromocio
103,"Se cumplen cuatro años de los terribles atentados de #Barcelona y #Cambrils. Hoy, #17A, volvemos a la Rambla para recordar y homenajear a todas las víctimas y a sus familias. Frente al odio y la barbarie terrorista, siempre defenderemos la libertad, la convivencia y la democracia https://t.co/J7IEF52CWj",interior
104,"🇪🇺 La Comissió Europea ha transferit a Espanya els primers 9.000 milions € dels fons europeus per finançar el #PlanDeRecuperación.

✅ Una gran notícia que ens permetrà fer inversions en matèries clau com la transició ecològica, l’habitatge, l’educació o la sanitat.

#PSC/❤️ https://t.co/dRAmCnaRC0",autopromocio
105,"No us oblidem! Un sentit record a les víctimes dels atemptats de #Barcelona i #Cambrils d'avui fa 4 anys. 
#Catalunya és terra de pau i convivència. La violència i l'odi no hi tenen cabuda.
 #17A https://t.co/ivnJWBuFul",autopromocio
