,original,clase
16,"Quin retrobament, quants llocs i quantes persones estimades! I per fi en llibertat, la mateixa llibertat que volem i que hem d’aconseguir per a tothom. https://t.co/Orrm55UozB",igualtat i feminismes
17,"Un anciano español de 77 años asaltado en su propia casa por un inmigrante ilegal con una motosierra en Ciudad Real.

Una joven de 18 años secuestrada, torturada y violada por tres marroquíes en Formentera.

Este es el resultado judiacial de ambos casos⬇️ https://t.co/aFfHmjSnTD",immigracio
18,"Content d'haver-nos pogut retrobar, després de gairebé quatre anys, amb el president @KRLS Puigdemont, el conseller @toni_comin i @valtonyc. No defallirem fins que siguem tots lliures i en una Catalunya lliure. Estic convençut que ho aconseguirem! https://t.co/0s55uCQcU5",presidencia
19,100 milions d'euros d'ajudes públiques al Circuit de Catalunya entre el 2006 i el 2017 https://t.co/gSQWbbmDLT https://t.co/Gldz2iZHT2,economia i hisenda
20,"➡️ @JGarrigaDomenec: ""Rechazamos la invitación a la convocatoria previa a la comisión bilateral Generalitat-Estado, porque no existe un conflicto entre Cataluña y España, el conflicto es dentro de Cataluña"".

""Somos el único grupo parlamentario que no piensa asistir"". https://t.co/WWgtsYsTR0",presidencia
21,"#TalDíaComoHoy arrancaban los Juegos Olímpicos de Barcelona 92.

«Por y contra aquella Barcelona olímpica corrían los hijos de Jordi Pujol, Joaquim Forn, David Madí, Jordi Sánchez y otros nacionalistas»

✒️ Por @JuanMilian 

https://t.co/TDUgxUSFIp",presidencia
22,"El segundo vuelo de repatriados ya está rumbo a Dubái.

Esta mañana, sobre las 06:30 horas, ha despegado desde el aeropuerto de Kabul el avión A400M de las Fuerzas Armadas en el que España está evacuando a otro grupo de 110 personas de Afganistán.",immigracio
23,"“Estamos viviendo una crisis medioambiental, la del Mar Menor, que solo se puede afrontar y solucionar desde una perspectiva de Estado”.

?? @LopezMirasF en @EstadoDAlarmaTV https://t.co/WKzliG5ap2",accio climatica alimentacio i agenda rural
24,"Los más de 100 millones de muertos que causó el comunismo, divididos por países.
Con la excepción de la dictadura camboyana, los responsables de estos genocidios han quedado impunes y en países democráticos aún se blanquea a ese movimiento totalitario:   
https://t.co/JF8f9Q9s2w",presidencia
25,"¡Buenos días! Empezamos la semana con entrevista a @alejandroTGN en @EconomiaED_ 

??”Tenemos que construir un instrumento en torno al PP para derrotar al separatismo en las urnas”

https://t.co/F6WKDnGkyF",presidencia
26,"‘Els límits del meu llenguatge són els límits del meu món’, Ludwig Wittgenstein,“Tractatus logico-philosophicus”. https://t.co/vFYyqX5gam",cultura
27,"Los buenos datos no nos pueden llevar a abandonar la prudencia. El respeto a las medidas de higiene es fundamental:
 
???? Lavado de manos.
???? Mascarillas.
???? Ventilación frecuente.

??️ @Pilar_Alegria en @DebatAlRojoVivo https://t.co/IEbbQId5dZ",salut
28,"Reducir a la mitad la actual huella ambiental no sólo es beneficioso para el planeta, sino que generaría la creación de 39 millones de empleos anuales.

Lo bueno para el medio ambiente, es bueno para todos y todas. 

https://t.co/MXy02o7pT1",accio climatica alimentacio i agenda rural
29,"Los comunes darán ""la batalla a todos los niveles"" contra la ampliación de El Prat https://t.co/7awfCGGYxH vía @eldiarioes",vicepresidencia i politiques digitals i territori
30,"Debemos actuar ya para poner fin al desastre ecológico en el Mar Menor.

➡️ Creación de #MarMenorParqueRegional para dotar a la laguna de la máxima protección jurídica.
➡️ Moratoria urbanística indefinida, frente a los pelotazos inmobiliarios.

https://t.co/oFRqIoO8bh",accio climatica alimentacio i agenda rural
31,La campanya Desmilitaritzem l’Educació denuncia l’incompliment de la Moció 55/XI sobre la Desmilitarització de Catalunya cinc anys després de la seva aprovació #ImplementeuMocio55XI https://t.co/cpSNc1Pd5Y,educacio
32,"??️ Comença l'entrevista al diputat de la @cupnacional, @carlesral.

▶️ El directe: https://t.co/zVVk0txp0i https://t.co/C0InOzLVht https://t.co/Xx9vFfc6f5",presidencia
33,"En 3,2,1...escucharemos que los talibanes tratan a las mujeres así porque los occidentales compramos zapatillas fabricadas en Asia...",igualtat i feminismes
34,"No acceptarem un traspàs ‘fake’ de la gestió de beques: ha d’anar acompanyat de finançament i dels costos de gestió que ha assumit la Generalitat els darrers anys. Serem molt exigents, perquè ja sabem quina és la pràctica habitual del govern espanyol https://t.co/NtGWbxTWMj https://t.co/EGCRsTsHyx",recerca i universitats
35,Escòcia avança en la producció d’energia eòlica i en l’articulació d’un sistema energètic que descarbonitza i alhora permet sobiranitzar-se. En el primer semestre ha produït suficient energia eòlica com per satisfer dues vegades la demanda de totes les llars del país. https://t.co/TWfxbfGf6o,economia i hisenda
36,"❗Tot el suport a les @Detingudes23S! Cal acabar amb la ❌ persecució judicial i política de l'Estat.

Sempre al costat de la democràcia i la llibertat! ✊ https://t.co/ciMCnwASdk",presidencia
37,"Nuevamente algún cobarde trata de amedrentarnos. Nuestro apoyo al concejal de @populares d Sant Sadurní, @CarlesJimenezM cuyo despacho profesional ha sido atacado de esta manera. No van a callarnos a los q damos la cara en Cataluña y defendemos la libertad

#populares
#barcelona https://t.co/NIdhkIR4Tn",presidencia
38,"▶ @DolorsMM: #DóndeEstáSánchez

?? Exigimos su comparecencia https://t.co/U1S68jV2sY",presidencia
39,"La economía española recuperará en 2022 el nivel previo a la pandemia. 
 
Con la aprobación del techo de gasto, ponemos en marcha el proceso para unos Presupuestos 2022 que sigan impulsando, junto al #PlanDeRecuperación????, un crecimiento más sólido, sostenible e inclusivo. https://t.co/yB6kWDdYIm",economia i hisenda
40,"Davant la catàstrofe d'Afganistan, em sorprenen aquestes rodes de premsa victorioses, tweets triomfants, discursos pomposos, i autofelicitació general per part dels governants occidentals.

Un país enfonsat. I el discurs: ""que bons que som per evacuar un grapat de col·laboradors""",accio exterior i govern obert
41,"??️@salvadorilla:

A Catalunya hi ha ganes de girar full després de deu anys que no han estat bons. 

??Catalunya ha d’estar molt més present en els debats que ens afecten a totes i tots, per defensar aquest model d’una Espanya diversa.

#PSC/❤️ https://t.co/KW7PYGqvfI",presidencia
42,??Què suposa l'ampliació de l'aeroport del Prat? Despropòsit ambiental i model econòmic precari. No és només la 3a pista! #MenysAvionsMésVida #NoAmpliacioAeroportElPrat #19S ?? 1/2 https://t.co/YuotvFYtRi,accio climatica alimentacio i agenda rural
43,"☕️ Buenos días y #FelizViernes a todos. Aquí os dejamos nuestra agenda para el día de hoy ??

https://t.co/3quq6iOQY2 https://t.co/ZTWrO2gIpF",autopromocio
44,"??Es un clamor popular #SOSMarMenor 

??Hoy lo verá todo el país cuando #LaVuelta21 llegue a La Manga.

??Necesitamos actuaciones urgentes como la creación del #MarMenorParqueRegional para salvar a nuestra laguna de nitratos y pelotazos urbanísticos.

ℹ️https://t.co/j8xuogpdeq https://t.co/cRKFCFqU68",accio climatica alimentacio i agenda rural
45,"‼?? Mensaje de @Santi_ABASCAL en el día de Santiago Apóstol, Patrón de España. 

“Hay motivos para la esperanza. El futuro es de los patriotas” ??????

⬇⬇⬇ https://t.co/LK8xpe9Ke8",presidencia
46,"Desde el Gobierno, #Cumplimos2021.
Por segunda vez consecutiva, los delegados y delegadas del Gobierno de ???? rinden cuentas de los compromisos cumplidos en el 1º semestre de 2021

A pesar de la pandemia, desde el Gobierno avanzamos en nuestra hoja de ruta y cumplimos con las CCAA https://t.co/uLgqNa7dng",presidencia
47,"El cantant de rap i antifeixista italià @francescokento ha escrit una cançó contra la repressió i la censura a Espanya. Parla dels Borbons, Carrero Blanco, Catalunya... de tot allò que a @PabloHasel @valtonyc i tants altres ha provocat persecució judicial.
https://t.co/akA3zS7h4L",cultura
48,"Avui he visitat l’@harnaulleida i @afrucat, a Lleida.

??Constatem una setmana més la necessitat urgent de tenir Govern a Catalunya.

??Reclamo poder presentar la meva candidatura a la investidura per formar un govern d’esquerres que atengui les necessitats reals de Catalunya. https://t.co/1R272I6vo8",presidencia
49,"La Mesa de la Asamblea de Ceuta no permite que mañana se debata durante el pleno revocar el nombramiento de Santiago Abascal como persona ‘non grata’.

De nuevo el PP vota junto al PSOE contra el partido que más apoyo recibió de los ceutíes en las últimas elecciones generales. https://t.co/7OgVz0Pt6B",presidencia
50,"??Des d' Aitona, al Baix Segrià, donem suport al sector de la fruita dolça de les comarques de Lleida??????
#LleidaImplicada?? https://t.co/IsW9p6AAI5",economia i hisenda
51,"??Bon dia! A les 08.45 @mariadolorsa a @maticatradio 
No t'ho perdis! https://t.co/P6O11gWrxw",autopromocio
52,"Podemos va a seguir trabajando para que la democracia llegue a la Jefatura del Estado y por un horizonte republicano para España, como proyecto de profundización democrática, de modernización económica y de unidad en base al reconocimiento de nuestra plurinacionalidad.",presidencia
53,"Mañana acompañarán al presidente @sanchezcastejon:

?? @vonderleyen.
?? @CharlesMichel.
?? @JosepBorrellF. 

???? será el corazón político y centro de los valores de ????

??️ @jmalbares en @DebatAlRojoVivo 

#LaEspañaQueHacemos_ https://t.co/gpyNJVN33K",autopromocio
54,"Demà treballadores i treballadors dl @112 comencen una vaga indefinida.
El Dep. d Treball els imposa serveis mínims del 85% pq són un servei essencial. Per aquest mateix motiu és imprescindible la seva internalització!
Tot el suport a aquesta vaga! Per una gestió directa del 112! https://t.co/XIvCNMOBjU",empresa i treball
55,"“Estamos reivindicando los mejores valores y principios de la UE: la unidad y la solidaridad. La unidad entre todos los Estados miembros y la solidaridad con aquellos que sufren y con los que tenemos un compromiso de protección de sus vidas y de su futuro”.

?? @sanchezcastejon https://t.co/S3ZxbYGwvW",presidencia
56,"La memoria democrática significa capacidad de resiliencia.

Igualdad, justicia, reparación, dignidad...
¿Quién no puede compartir esos valores?
Se trata de derechos humanos.

Memoria es educación, es historia.
Es el futuro de hablar de una sociedad más capaz. 

??  @_JuanEspadas https://t.co/5QCcFQJ3hC",justicia
57,"Me pregunto a quién le puede parecer una buena idea usar la homofobia como estrategia comercial. 

Nuestra sociedad es diversa y tolerante. Ojalá aprendan a serlo también quienes tienen el poder para tomar las decisiones sobre lo que vemos y oímos en anuncios y programas de TV.",igualtat i feminismes
58,"?? Quina tristesa i quina ràbia que el nom de #santacoloma s'hagi de relacionar amb la corrupció
?? Quanta feina a fer queda perquè la política estigui al servei de la gent i no dels negocis https://t.co/LLbR7sjKp7",drets socials
59,"Creemos empleo derogando los impuestos de sucesiones, donaciones y patrimonio, bajando cotizaciones sociales, tarifa autónomos y fiscalidad al ahorro.

Debatimos con el ex Gobernador del Banco de España Caruana, el ex Presidente de la Bolsa Pizarro y el ex secretario Estado Legaz https://t.co/Syry5LPy0s",empresa i treball
60,"Un nou èxit del jutge Llarena.
Moltes felicitats ⁦@ClaraPonsati⁩!! https://t.co/RhvIHre7xs",autopromocio
61,Avui el Consell de Ministres dóna llum verda a la seva primera llei de reforma de les pensions. Quan va sortir-ne l’esborrany ara fa us mesos vaig fer aquest fil explicant què hi ha darrere d’aquests canvis: van en la direcció contrària de repartir els treballs i la riquesa. https://t.co/bhb6P0n34e,drets socials
62,Hoy también hemos aprobado en #CMin medidas urgentes frente a la #violenciamachista. Para mejorar la detección precoz y el acompañamiento a las víctimas e implicar a la sociedad en la erradicación de la violencia contra las mujeres. Nos necesitamos todos y todas en esta lucha. https://t.co/YK1VCy4V1g,igualtat i feminismes
63,"Esto sería inimaginable en otro país: 

1. El Gobierno, PSOE, financia una exposición que promueve la leyenda negra contra su Nación.

2. El Ayuntamiento de la ciudad que se ve atacada, PP, le cede un espacio preferente.

3. Uno de sus bancos, el @bancosantander, lo patrocina. https://t.co/kX0OUsFVyl",presidencia
64,"Todo el apoyo y cariño desde @igualdadgob para la familia de la mujer asesinada en la provincia de Sevilla. 

Seguimos en alerta machista. Necesitamos de toda la unidad institucional, feminista y del conjunto de la sociedad para salvar las vidas de las mujeres. #NosQueremosVivas https://t.co/amFPq8ynv7",igualtat i feminismes
65,Wolfgang Schomburg: “A Espanya algú va passar per alt que hi ha jutges independents a Alemanya” https://t.co/PWa8apE2oV,accio exterior i govern obert
66,"Com no podia ser de cap altra manera, el Tribunal General de la Unió Europea retorna la immunitat a @KRLS, @toni_comin i @ClaraPonsati. És una molt bona notícia per l'independentisme i la democràcia. Europa ens fa arribar la justícia. Seguim endavant. https://t.co/oCgafWoIJc",presidencia
67,"“Si no se usan las ayudas de forma adecuada, no podemos asegurar una segunda oportunidad”. 

➡️ El gran desafío al que se enfrenta España es el desempleo juvenil, por lo que tiene que invertir en futuro.

?? @ManfredWeber https://t.co/E2xKPOhNR2",empresa i treball
68,El Departament abandona el jovent i promou el creixement del negoci privat de la postobligatòria on estan desembarcant grans grups inversors internacionals veient l'oportunitat d negoci en la generació filla del baby boom sense prou oferta pública de formació postobligatòria.,empresa i treball
69,"Les organitzacions socials de drets humans de Catalunya demanem urgentment una auditoria sobre l'aplicació de la circular que regula el règim tancat a les presons catalanes a la vista de la producció de violències, morts i suïcidis ⁦⁦@La_Directa⁩  https://t.co/OlCoevx7xM",drets socials
70,"Quina és la xifra a la que està disposat a arribar el govern espanyol? El 2015 era —només— de 17.337 persones (via  reassentament i reubicació). Es va completar —només— l’11%. 

Per altra banda, de les sol·licituds d’asil resoltes durant el 2020, —només— van ser favorables el 5%. https://t.co/7hW0I3niEy",immigracio
71,"??️@jorfabrega sobre els Jocs Olímpics d'Hivern Pirineus-Barcelona 2030: “Hem d’aconseguir que siguin uns Jocs sostenibles i amb el consens del territori, que donin feina i millorin els serveis del Pirineu”. 

?? Recupera l'entrevista a @Radio_Pirineus: https://t.co/xZ8yGbFrJ1 https://t.co/uOojGq1YG0",cultura
72,No tenir papers ja no significarà estar a la intempèrie a Sant Cugat. Un pas molt important en la garantia de drets. #SantcugatCiutatdeDrets https://t.co/mszIqUlQGf,drets socials
73,"Impulsamos una ley que nos dice quiénes somos y quiénes queremos ser.

⮕ Ser humanitarios con las familias que sufrieron en sus carnes la represalia franquista.
 
⮕ Reparar moralmente a las víctimas y fomentar valores democráticos.
 
#PorMemoriaDemocrática ✊
 
?? Félix Bolaños https://t.co/1upLI3aLSJ",justicia
74,"??️ @ManuelAcosta69: ""Rechazamos cualquier plan educativo en las aulas que tenga como objeto ideologizar y adoctrinar a los menores y que se financie con recursos públicos"".

✅ El Pin Parental es lo único que aleja a los corruptores de menores de los colegios. https://t.co/El6POLaFMj",educacio
75,"??Tot i els esforços de @bomberscat tota la nit, l'#IFLlançà continua inestable i obert. Amb esperança que l'ajuda dels mitjans aeris porti bones notícies.

Aquest estiu sec i calorós, cuidem el medi natural i els Bombers. Una abraçada molt forta a tota la gent de  l'Alt Empordà. https://t.co/IFOjRsLaAP",accio climatica alimentacio i agenda rural
76,"Aquest vídeo és l’abraçada pendent durant 12 anys. La família ens ha demanat que el publiquem, que seguim explicant la seva història, que és la mateixa que la de moltíssimes persones arreu del món: https://t.co/47P2qqOax5",autopromocio
77,"Una societat democràtica basa els seus principis en el respecte als Drets Humans i a les convencions internacionals. Espanya fa massa temps que ha perdut aquesta centralitat. Demanem que s'aturin les repatriacions il·legals de menors.

https://t.co/CI1hwxdRbN",drets socials
78,"Comença a caminar una nova Generalitat. Amb el compromís inequívoc de fer més fàcil, amable i feliç la vida de la ciutadania. Personalment, ho donaré tot per fer possible la Catalunya pròspera, justa, verda, feminista i lliure que volem per als nostres fills i filles. https://t.co/nLjiL6SkwL",presidencia
79,"Després de gairebé 4 anys de presó, és un plaer retrobar-me amb la gent de les Terres de l’Ebre i passejar pels seus carrers. Visitar-vos sempre ens ajuda a ser més i més forts. Gràcies per la rebuda! https://t.co/v5WNSrPmCO",presidencia
80,"Gracias a Luis de Guindos por inaugurar un año más nuestro curso de verano.

El BCE mantiene la respiración asistida pues los fondos UE no compensan el boquete económico si no creamos empleo, bajando impuestos y burocracia con más flexibilidad y competitividad.

Hay alternativa???? https://t.co/0ICpivRVc1",empresa i treball
81,"??Comunicat de Junts per Catalunya sobre la devolució dels menors des de Ceuta. 

?? Llegeix el comunicat al nostre web: https://t.co/ySwvGZKRFM https://t.co/DcWSFj0sco",justicia
82,"El Gobierno de la Generalitat quiere que Aena pague la ampliación del aeropuerto de El Prat y luego les regale la gestión. 

No saben gestionar ayudas a los autónomos y pretenden gestionar un aeropuerto internacional. https://t.co/sIzJtjJjM3",drets socials
83,"""Hay componentes de la factura de la luz que no son costes energéticos. Por lo tanto, hay una parte de la factura que sí depende del Gobierno"".

??Proponemos bajar impuestos y eliminar los costes no energéticos.
??El PSOE no tiene ningún plan. 

??️ @JavierMaroto en @MasDeUno",economia i hisenda
84,"?? Empresa i Treball fa el pagament de 60.867.700 euros corresponents a l'ajut per a persones en ERTO i fixes discontinues 
https://t.co/cnbxT1yLZH",empresa i treball
85,"Preocupada per les notícies que arriben des d'Alemanya. Tot el meu escalf a les persones afectades. 

Cada vegada són més evidents les conseqüències del canvi climàtic ?? L'únic futur possible és verd i té forma de transició ecològica ?? https://t.co/sV0tn7mWip",accio climatica alimentacio i agenda rural
86,Teníamos razón. Tenemos razón. https://t.co/wIxe6luLf8,autopromocio
87,"Les inversions d’AENA que ara ens prometen no són un regal, són una obligació. https://t.co/HcmPU1Id3W",empresa i treball
88,@MazelLilith Amén.-,autopromocio
89,"Este #4M los madrileños y las madrileñas podéis romper el círculo vicioso.

¡Con vuestro voto, paráis la crispación! ??️

El futuro de Madrid pasa por @equipoGabilondo ??
 
Madrid, ¡Es hora de dar paso a quien quiere gobernar EN SERIO! ⚡

?? @salvadorilla 
 
#PalabraDePresidente https://t.co/6hwacoQihs",presidencia
90,"Venim de lluny per anar més lluny encara. Cada comarca i ciutat de Catalunya té referents en defensa de la llibertat que encadenen un llegat de compromís polític amb el país de generació en generació; com a Tarragona, en Josep Sendra i Navarro a qui avui hem acomiadat. DEP https://t.co/3Gyq4QMcXE",drets socials
91,"⚫ Este #17agosto en que se cumplen 4 años de los atentados yihadistas de Barcelona y Cambrils, nuestra portavoz del @PPE_ES, @DolorsMM, los vicesecretarios del PPC @imartinsalva y @oramirezlara y el presidente de @pp_bcn, @josebouvila, rinden homenaje a las víctimas. https://t.co/YADnBv7tR4",justicia
92,"El Secretari de Política Lingüística, @VilaFx, ha explicat a la @UCE_CAT els àmbits en què està treballant la Direcció General de @llenguacatalana per fomentar el català en l’audiovisual: https://t.co/FgAUcsMMhM",educacio
93,"La última ""innovación empresarial"" de Glovo es una subasta a la baja que juega con la desesperación de la gente para obtener más beneficios. 

Este es el modelo laboral que apoya el PP: la guerra del penúltimo contra el último. https://t.co/CNbPdBd9Tn",empresa i treball
94,"?? @sergio_macian: ""Esto se suma no sólo al adoctrinamiento en las aulas sino también al de los libros de texto, que es absolutamente evidente en Cataluña"" https://t.co/0DjYeTKorR",educacio
95,"Orgullosos de un equipo que se hizo familia, y que demostró al mundo valores como el compañerismo, la humildad y el sacrificio. 

Gracias por tantos momentos eternos. GRACIAS #LaFamilia #GraciasPau #GraciasMarc
https://t.co/s0R2oleNvd",autopromocio
96,Los incendios han vuelto a golpearnos duramente un verano más. Toca ayudar a quienes han sufrido los efectos de esta y otras catástrofes naturales y eso es lo que va a hacer el Gobierno: habilitamos las ayudas necesarias para asegurar a los afectados una recuperación justa. #CMin https://t.co/JbYJheXFkf,accio climatica alimentacio i agenda rural
97,"Esta última semana hemos visto que existen dos realidades paralelas: la de los hechos y la que el PP nos cuenta.
 
Como una imagen vale más que mil palabras, os hacemos un repaso visual de la semana vivida por el Partido Popular.

¡Dentro ??!??",presidencia
98,"Si Ada Colau fuera concejal del PP en la Cataluña interior no habría kleenex suficientes en el planeta para tanta lágrima....
Orgulloso de mis compañeros de partido. Orgulloso de su valentía y firmeza. Más que nunca.",presidencia
99,"Europa entera es facha, represora y demofóbica...

https://t.co/PBHgTWlN8L",accio exterior i govern obert
100,"El govern espanyol impugna dos decrets catalans sobre habitatge. No perquè realment cregui o li importi que siguin inconstitucionals, sinó perquè han estat aprovats per les institucions catalanes. Ni taules bilaterals ni de diàleg, no paren ni a l'agost.
https://t.co/BSEn1G193H",justicia
101,"?? Tomacó de les cooperatives Conca de la Tordera #Pallafols 
@aracoop i @ProgresGarbi de #malgratdemar per a les residències de gent gran.

Des d'@agriculturacat, @salutcati @dsocialscat, impulsem aquesta iniciativa en el marc de l'#AnyInternacionalFruitesiVerdures https://t.co/15iQhqD8of",accio climatica alimentacio i agenda rural
102,"Un neonazi con explosivos, en libertad. Hassel, en la cárcel. Y así todo en la justicia española ??https://t.co/gjlOTJzeUp",justicia
103,"??[PERFIL] Sabies que @ChakirelHomrani va tenir la sort de tenir de mestra de llengua catalana Maria-Mercè Marçal quan feia segon de ?? BUP?

1⃣0⃣ coses que potser no sabies del nou secretari de Política de Treball d’@Esquerra_ERC ??
https://t.co/1qdeLho7zq",educacio
104,"?? @sergio_macian sobre Pablo Hasel:

➡️ ""Este hombre está en la cárcel porque es un criminal"". https://t.co/1elkfGKpJF",justicia
105,"Por increíble que parezca, son muchísimos los separatistas que aceptan la decadencia económica de Cataluña ""si es el precio a pagar por la independencia""
Soy incapaz de entender semejante mecanismo psicológico suicida.",economia i hisenda
106,"No os perdáis esta exclusiva de @publico_es ????

https://t.co/CmYkeybpXM",autopromocio
107,"Botín, Gates, Almeida, el PP o Podemos;  todos están en lo mismo. Prohibir el coche en las ciudades, restringir el aire acondicionado, reducir el consumo de carne y limitar los vuelos en avión solo a los privilegiados.  

Están todos juntos contra los más desfavorecidos.",accio climatica alimentacio i agenda rural
108,"?? Desde VOX Cartagena tenemos muy claro lo que va a suponer un #CATE en el corazón de la ciudad. 
❌ Más delincuencia 
❌ Más efecto llamada 
❌ Más inseguridad ciudadana 
❌ Menos inversiones en Cartagena https://t.co/kR9ITQEXMO",immigracio
109,"Hace cuatro años que el terror, la rabia y el dolor inundaron las calles de Barcelona y Cambrils.

Hoy, #17A, recordamos a todas las víctimas de aquellos terribles atentados y a sus familias.

Siempre en nuestra memoria ??

Foto: @EFEnoticias https://t.co/KyZ6kPSm9g",interior
110,"‼️ La Generalidad ha pagado billetes de avión a decenas de los inmigrantes que saltaron violentamente la valla de Ceuta. En los próximos días llegarán al Centro de Reinserción Social de Barcelona.

En VOX lo tenemos claro: deportación inmediata de los invasores.
#FronterasSeguras",immigracio
111,@MPerfumado Los etarras deben cumplir íntegramente sus condenas.  Con eso no hace ninguna falta lo otro.,justicia
112,"Por parte del Gob. de España ha habido una transferencia económica hacia las CCAA como nunca:

???? 16.000 millones de € el año pasado.
???? 13.500 millones de € este año.
 
La educación debe ser prioritaria en el reparto de estos fondos.

??️ @Pilar_Alegria en @DebatAlRojoVivo https://t.co/leWl0XMBeN",educacio
113,"Ada Colau y el golpista Jordi Cuixart reciben abucheos de gente de Gracia (Barcelona)

Una está arruinando Barcelona con sus políticas y obsesiones y el otro es gran responsable de que Cataluña esté partida en 2. https://t.co/yTmUy4eIgz",presidencia
114,"Pendientes de la evolución en las próximas horas del fuego que está arrasando parajes naturales como los de El Raso, Navalacruz y Cepeda la Mora, en Ávila. Gracias a los servicios de emergencias y la @UMEgob.

Seamos responsables y prudentes ante el elevado riesgo de incendios.",interior
115,"??️@salvadorilla a @maticatradio:

?? @miqueliceta ha fet una feina excel·lent.

??El Congrés extraordinari que hem de fer és el Congrés del Govern de Catalunya. L'objectiu ara és ser el partit que ha de governar Catalunya.

#PSC/❤️ https://t.co/DsnK1P9ioA",presidencia
116,"""Los delincuentes son jóvenes y un 99% extranjeros"".

En raras ocasiones se escuchan verdades en TV3. Esta es una de ellas. 

Conservemos el corte y anotémoslo en el calendario. https://t.co/tsL3NINIO8",immigracio
117,Suma y sigue. Mientras PP y PSOE siguen llamando a la immigracion ilegal https://t.co/smVdvD223P,immigracio
118,"Finalment, el @govern ha decidit fer cas al seu propi decret llei i avalar des de l'ICF les fiances del Tribunal de Cuentas. Ens podíem haver estalviat aquestes hores més aviat ridícules. Gràcies a tothom q des del seu lloc ha reclamat q el govern assumís la seva responsabilitat. https://t.co/QoWNi0AAvY https://t.co/t9HiHhn59K",justicia
119,"The extradition hearing for Catalan MEP - Professor @ClaraPonsati will take place this Thursday 26th August, 10am at Edinburgh Sheriff Court ??3 years on Clara is free, but still a political exile?? Lluitarem fins al final, i guanyarem! https://t.co/ORxhkwXEfw",justicia
